id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
146098,136212,Call of Duty: Black Ops III - Multiplayer Edition,NULL,2015-11-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146318,8905,Call of Duty: Black Ops III - Steelbook Edition,NULL,2015-11-06 00:00:00.000,6,9,NULL,NULL,NULL,NULL
187972,28413,Call of Duty: Black Ops III - Zombies Chronicles,NULL,2017-06-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
195892,51378,Call of Duty: Black Ops III - Zombies Chronicles Edition,NULL,2017-05-16 00:00:00.000,NULL,NULL,NULL,NULL,90.0000,3
124073,135300,Call of Duty: Black Ops Mobile,NULL,2010-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27609,77267,Call of Duty: Black Ops Zombies,NULL,2011-12-01 00:00:00.000,NULL,NULL,NULL,NULL,90.0000,3
104314,200078,Call of Duty: Devil's Brigade,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107601,3761,Call of Duty: Finest Hour,NULL,2004-11-16 00:00:00.000,5,NULL,81.6000,7,62.0121,41
88107,2033,Call of Duty: Ghosts,NULL,2013-11-05 00:00:00.000,123,5,73.6087,27,64.0530,504
133654,100000,Call of Duty: Ghosts - Gold Edition,NULL,2014-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156109,47493,Call of Duty: Ghosts - Hardened Edition,NULL,2013-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
164268,102078,Call of Duty: Ghosts - Prestige Edition,NULL,2013-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
169701,196597,Call of Duty: Global Operations,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175530,60777,Call of Duty: Heroes,NULL,2014-11-26 00:00:00.000,1,NULL,NULL,NULL,59.8421,6
67809,18968,Call of Duty: Infinite Warfare,NULL,2016-11-04 00:00:00.000,123,13,77.2400,32,71.1454,274
192990,118910,Call of Duty: Infinite Warfare - Digital Deluxe Edition,NULL,2016-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90185,225379,Call of Duty: Infinite Warfare - Digital Legacy Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11295,80632,Call of Duty: Infinite Warfare - Jackal Assault,NULL,2016-04-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73855,82447,Call of Duty: Infinite Warfare - Launch Edition,NULL,2016-11-04 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,1
138673,42896,Call of Duty: Infinite Warfare - Legacy Edition,NULL,2016-11-04 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
36170,41625,Call of Duty: Infinite Warfare - Legacy Pro Edition,"The Legacy Pro Edition of Call of Duty: Infinite Warfare comes in a SteelBook case and includes:

- Modern Warfare Remastered
- Season Pass
- The official game soundtrack
- Extra digital content in Infinite Warfare",2016-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
